FID,TYPEPIPE,Operator,Status,Shape_Leng,geometry
2,Intrastate,Texas Intrastate Pipeline Co,Operating,0.0015401610306,"LINESTRING (-94.600984 29.6614040000001, -94.5999439999999 29.660268)"
3,Interstate,El Paso Natural Gas Co,Operating,0.314553747268,"LINESTRING (-102.862928 31.794647, -102.906508 31.6615170000001, -102.884716 31.639329, -102.74526 31.6726110000001)"
4,Intrastate,Crosstex Texas Systems,Operating,0.0216183888854,"LINESTRING (-97.216741 28.972359, -97.238214 28.9698560000001)"
7,Intrastate,Texas Intrastate Pipeline Co,Operating,0.0056662100208,"LINESTRING (-94.60664 29.6610640000001, -94.600984 29.6614040000001)"
8,Intrastate,Centana Pipeline Co (TX),Operating,0.00586073280402,"LINESTRING (-93.981658 29.873549, -93.980175 29.879219)"
10,Intrastate,Crosstex Texas Systems,Operating,0.0695877423886,"LINESTRING (-96.980605 29.100875, -96.9597689999999 29.0887530000001, -96.961504 29.043304)"
11,Intrastate,Texas Intrastate Pipeline Co,Operating,0.0504633329062,"LINESTRING (-94.581376 29.598624, -94.563024 29.551616)"
12,Interstate,El Paso Natural Gas Co,Operating,0.706096512722,"LINESTRING (-102.884716 31.639329, -102.876 31.6023480000001, -102.884716 31.239937, -103.167984 31.125297)"
20,Intrastate,Texas Intrastate Pipeline Co,Operating,0.0396433514476,"LINESTRING (-94.5757599999999 29.6697600000001, -94.536875 29.6774770000001)"
22,Intrastate,Texas Intrastate Pipeline Co,Operating,0.0144142951267,"LINESTRING (-93.96528 29.9338720000001, -93.95856 29.946624)"
24,Intrastate,Texas Intrastate Pipeline Co,Operating,0.0090275170451,"LINESTRING (-94.378192 29.7782720000001, -94.3692 29.779072)"
26,Intrastate,Texas Intrastate Pipeline Co,Operating,0.007248,"LINESTRING (-93.95016 29.9596, -93.95016 29.966848)"
28,Intrastate,Texas Intrastate Pipeline Co,Operating,0.0206293057566,"LINESTRING (-93.95856 29.946624, -93.9427199999999 29.933408)"
31,Intrastate,Crosstex Texas Systems,Operating,0.0269915935987,"LINESTRING (-96.391669 29.001581, -96.418264 28.996971)"
33,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00561092078003,"LINESTRING (-94.612448 29.663616, -94.606904 29.66448)"
35,Interstate,El Paso Natural Gas Co,Operating,0.294830951131,"LINESTRING (-102.884716 31.239937, -102.945728 30.951488)"
36,Intrastate,Texas Intrastate Pipeline Co,Operating,0.0034261862179,"LINESTRING (-94.606904 29.66448, -94.60664 29.6610640000001)"
38,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00975702413649,"LINESTRING (-94.622084 29.6620840000001, -94.612448 29.663616)"
40,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00392809368524,"LINESTRING (-94.612448 29.663616, -94.612756 29.6597)"
42,Intrastate,Texas Intrastate Pipeline Co,Operating,0.0141502248746,"LINESTRING (-94.64768 29.64448, -94.646272 29.6585600000001)"
44,Intrastate,Texas Intrastate Pipeline Co,Operating,0.0212307399777,"LINESTRING (-94.646272 29.623296, -94.64768 29.64448)"
46,Intrastate,Texas Intrastate Pipeline Co,Operating,0.0135199147927,"LINESTRING (-94.659136 29.619136, -94.646272 29.623296)"
47,Intrastate,Texas Intrastate Pipeline Co,Operating,0.0368636944431,"LINESTRING (-94.666464 29.5830080000001, -94.659136 29.619136)"
48,Intrastate,Texas Intrastate Pipeline Co,Operating,0.0318478462694,"LINESTRING (-94.6967999999999 29.573312, -94.666464 29.5830080000001)"
